id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,coef_nakamoto,stake,37.1,0.491462,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,coef_nakamoto,eleito,7.0,0.0,30,123
20260703-200911,5,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,coef_nakamoto,produzido,7.0,0.0,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.002511,0.000781,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.002511,0.000781,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.002511,0.000781,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover,stake,2.924337,0.026954,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,2.924337,0.026954,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,2.924337,0.026954,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover_51,stake,4.074245,0.038577,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,4.074245,0.038577,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,4.074245,0.038577,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,gini,stake,0.334745,0.005923,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,gini,eleito,0.096457,0.002268,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,gini,produzido,0.104774,0.002586,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,coef_nakamoto,stake,37.1,0.491462,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,coef_nakamoto,eleito,6.0,0.0,30,123
20260703-200911,6,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.02,0.0,0.0,1,0.0,0.0,coef_nakamoto,produzido,6.0,0.0,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.002896,0.001142,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.002896,0.001142,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.002896,0.001142,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover,stake,2.815918,0.025223,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,2.815918,0.025223,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,2.815918,0.025223,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover_51,stake,3.923238,0.036238,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,3.923238,0.036238,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,3.923238,0.036238,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,gini,stake,0.334745,0.005923,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,gini,eleito,0.101334,0.002121,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,gini,produzido,0.108745,0.002478,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,coef_nakamoto,stake,37.1,0.491462,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,coef_nakamoto,eleito,6.0,0.0,30,123
20260703-200911,7,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.05,0.0,0.0,1,0.0,0.0,coef_nakamoto,produzido,6.0,0.0,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.002396,0.000846,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.002396,0.000846,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.002396,0.000846,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover,stake,2.658503,0.023975,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,2.658503,0.023975,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,2.658503,0.023975,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover_51,stake,3.703587,0.035258,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover_51,eleito,3.703587,0.035258,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,custo_takeover_51,produzido,3.703587,0.035258,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,gini,stake,0.334745,0.005923,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,gini,eleito,0.108053,0.001846,30,123
